Title,elementary,middle,high,univ
My Solar System,1,1,1,1
Geometric Optics: Basics,1,1,1,0
Build a Nucleus,0,0,1,1
Geometric Optics,0,1,1,1
Density,1,1,1,1
Circuit Construction Kit: AC,0,0,1,1
Circuit Construction Kit: AC - Virtual Lab,0,0,1,1
Normal Modes,0,0,1,1
Fourier: Making Waves,0,0,1,1
Collision Lab,0,1,1,1
Energy Skate Park,0,0,1,1
Vector Addition,0,0,1,1
Curve Fitting,0,0,1,1
Gravity Force Lab: Basics,1,1,1,0
Waves Intro,1,1,1,0
Diffusion,0,1,1,1
Gases Intro,1,1,0,0
Gas Properties,0,0,1,1
Blackbody Spectrum,0,1,1,1
Masses and Springs: Basics,1,1,0,0
Energy Forms and Changes,1,1,1,1
Wave Interference,1,1,1,1
Coulomb's Law,0,0,1,1
Masses and Springs,0,0,1,1
Capacitor Lab: Basics,0,1,1,1
Circuit Construction Kit: DC - Virtual Lab,1,1,1,1
Circuit Construction Kit: DC,1,1,1,1
Pendulum Lab,1,1,1,1
Projectile Motion,1,1,1,1
States of Matter: Basics,1,1,1,0
States of Matter,0,0,1,1
Gravity and Orbits,1,1,1,1
Plinko Probability,0,1,1,1
Atomic Interactions,0,0,1,1
Charges and Fields,0,1,1,1
Rutherford Scattering,0,0,1,1
Bending Light,1,1,1,1
Hooke's Law,0,0,1,1
Modecules and Light,0,1,1,1
Energy Skate Park: Basics,1,1,1,1
Faraday's Law,0,1,1,1
Wave on a String,0,1,1,1
Color Vision,1,1,1,1
Balancing Act,1,1,1,1
Under Pressure,0,1,1,1
Friction,1,1,1,1
Forces and Motion: Basics,1,1,1,1
John Travoltage,1,1,1,1
Gravity Force Lab,0,0,1,1
Balloons and Static Electricity,1,1,1,1
Ohm's Law,0,1,1,1
Resistance in a Wire,0,1,1,1
Build an Atom,0,1,1,1
